,Issue Date,Plate ID,Registration State,Summons Number,Vehicle Color,Vehicle Expiration Date,Vehicle Make,Violation Description,Violation code,alert,id_drone
187,2014-08-12,GJA4054,NY,7576348045.0,BK,2015-01-01 00:00:00,ACURA,Insp Sticker Expired (NYS),71A,0.0,1991.0
188,2014-08-07,R4X117,NY,7221462719.0,TN,2014-01-01 00:00:00,TOYOT,Failure to Display Muni Rec,38,0.0,2014.0
189,2014-08-18,EWS6900,NY,8010905940.0,WH,2016-01-01 00:00:00,NISSA,No Parking (street clean),21,0.0,2022.0
190,2014-08-04,CJL9952,NC,7293121489.0,BLACK,2015-01-01 00:00:00,PONTI,No Parking (Non-COM),20A,0.0,2054.0
191,2014-08-29,XC949X,NJ,7095874372.0,RED,8888-01-01 00:00:00,FRUEH,Fire Hydrant,40,0.0,2057.0
192,2014-08-15,48580MC,NY,7949191259.0,GY,2016-01-01 00:00:00,HONDA,No Std (Com Veh) Com Plate,16,0.0,2061.0
193,2014-08-11,FRG4022,NY,7794302973.0,TN,2015-01-01 00:00:00,TOYOT,Expired Muni Meter,37,0.0,2063.0
194,2014-08-11,GNL1278,NY,7694369553.0,GY,2016-01-01 00:00:00,HONDA,Double Parking (Non-COM),46A,0.0,2100.0
195,2014-08-13,GSC6402,NY,8001130836.0,BK,2016-01-01 00:00:00,LEXUS,No Parking (Non-COM),20A,0.0,2113.0
196,2014-08-30,GSL3104,NY,8000573271.0,BLUE,8888-01-01 00:00:00,JEEP,Reg. Sticker Missing (NYS),70,0.0,2134.0
197,2014-08-16,JKN1391,PA,7811761634.0,GREY,2014-01-01 00:00:00,VOLKS,Fire Hydrant,40,0.0,2146.0
198,2014-08-22,E352TE,NY,7582780929.0,RED,2016-01-01 00:00:00,MERCU,No Parking (street clean),21,0.0,2163.0
199,2014-08-22,FZB1156,NY,7183541710.0,BLACK,2016-01-01 00:00:00,ACURA,No Parking (street clean),21,0.0,2179.0
200,2014-08-19,85276,MA,7845938142.0,WHITE,2014-01-01 00:00:00,INTER,Platform lifts in low posit,84,0.0,2207.0
201,2014-08-06,EDH6204,NY,8009504294.0,BK,2015-01-01 00:00:00,FORD,Insp Sticker Expired (NYS),71A,0.0,2228.0
